transform	maxChar	path	score	size	text
normal	300	gutenberg/4/7/7/4/47746/47746.txt	0.74	300	with their guns fell into the hands of the National forces. In the night Hood retreated a mile or two, to another line on the hills, made some new dispositions, and awaited attack. He was seriously embarrassed by the absence of a large part of Forrest's cavalry, which should have been protecting his
normal	300	gutenberg/4/7/7/4/47746/47746-8.txt	0.74	300	with their guns fell into the hands of the National forces. In the night Hood retreated a mile or two, to another line on the hills, made some new dispositions, and awaited attack. He was seriously embarrassed by the absence of a large part of Forrest's cavalry, which should have been protecting his
normal	300	gutenberg/4/5/4/5/45454/old/45454-8.txt	0.74	298	it from a distance; that would give me a sufficiently exact position. So I hardened my heart and laid my course for the western extremity of the bank. By now the storm was howling like hell let loose, the squalls slung volleys of hailstones down on us. The seas raged against our little ship, which
normal	300	gutenberg/4/5/4/5/45454/old/45454.txt	0.74	298	it from a distance; that would give me a sufficiently exact position. So I hardened my heart and laid my course for the western extremity of the bank. By now the storm was howling like hell let loose, the squalls slung volleys of hailstones down on us. The seas raged against our little ship, which
normal	300	gutenberg/4/5/4/5/45454/45454-0.txt	0.74	298	it from a distance; that would give me a sufficiently exact position. So I hardened my heart and laid my course for the western extremity of the bank. By now the storm was howling like hell let loose, the squalls slung volleys of hailstones down on us. The seas raged against our little ship, which
normal	300	gutenberg/7/0/9/4/70943/70943-0.txt	0.74	300	been most deplorably revived by the Ministers Camphausen and Friedenthal, although both voluntarily withdrew from the present Cabinet at a difficult juncture, the latter leaving to others the further execution of the work which he had himself commenced, as well as the responsibility for its success.
normal	300	gutenberg/4/3/5/9/43593/old/43593-0.txt	0.74	300	original one had been declined. A paragraph from each letter deserves reproduction. I know that you will scarcely think of me as among those who write simply for vulgar gain, but when do not circumstances sometimes compel a man to act contrary to his habits of thought and principles!! My Cardinal is
normal	300	gutenberg/4/3/5/9/43593/43593-0.txt	0.74	300	original one had been declined. A paragraph from each letter deserves reproduction. I know that you will scarcely think of me as among those who write simply for vulgar gain, but when do not circumstances sometimes compel a man to act contrary to his habits of thought and principles!! My Cardinal is
normal	300	gutenberg/4/3/5/9/43593/old/43593-8.txt	0.74	300	original one had been declined. A paragraph from each letter deserves reproduction. I know that you will scarcely think of me as among those who write simply for vulgar gain, but when do not circumstances sometimes compel a man to act contrary to his habits of thought and principles!! My Cardinal is
normal	300	gutenberg/4/3/5/9/43593/old/43593.txt	0.74	300	original one had been declined. A paragraph from each letter deserves reproduction. I know that you will scarcely think of me as among those who write simply for vulgar gain, but when do not circumstances sometimes compel a man to act contrary to his habits of thought and principles!! My Cardinal is
normal	300	gutenberg/4/6/1/7/46173/old/46173.txt	0.74	296	of the extra hours--exposed to the peril of their fascinations! But whatever happened now, it could not be said, at least, that he had not received abundant warning of the consequences which might ensue from any yielding, however blameless or defensible, on his part. And Peter Tourmalin resolved
normal	300	gutenberg/4/6/1/7/46173/46173-0.txt	0.74	296	of the extra hours--exposed to the peril of their fascinations! But whatever happened now, it could not be said, at least, that he had not received abundant warning of the consequences which might ensue from any yielding, however blameless or defensible, on his part. And Peter Tourmalin resolved
normal	300	gutenberg/4/6/1/7/46173/old/46173-8.txt	0.74	298	the extra hours--exposed to the peril of their fascinations! But whatever happened now, it could not be said, at least, that he had not received abundant warning of the consequences which might ensue from any yielding, however blameless or defensible, on his part. And Peter Tourmalin resolved that
normal	300	gutenberg/1/9/5/1955/1955-0.txt	0.74	298	Maitland’s ability to prove conclusively all he had undertaken. I need not describe to you my interview with Jeannette. There are things concerning it which, even at this late day, when their roseate hue glows but dimly in the blue retrospect of the past,--it would seem sacrilege for me to mention
normal	300	gutenberg/1/9/5/1955/old/dngma10.txt	0.74	298	Maitland's ability to prove conclusively all he had undertaken. I need not describe to you my interview with Jeannette. There are things concerning it which, even at this late day, when their roseate hue glows but dimly in the blue retrospect of the past,--it would seem sacrilege for me to mention
normal	300	gutenberg/1/9/5/1955/1955.txt	0.74	298	Maitland's ability to prove conclusively all he had undertaken. I need not describe to you my interview with Jeannette. There are things concerning it which, even at this late day, when their roseate hue glows but dimly in the blue retrospect of the past,--it would seem sacrilege for me to mention
normal	300	gutenberg/1/1/2/4/11243/11243-0.txt	0.74	298	any circumstances, was highly improbable, under those which actually existed impossible. But, why should we endeavour to escape from this vessel? The countries were at peace: we had just bought Louisiana from France, and paid fifteen millions of dollars for it, thereby not only getting the country
normal	300	gutenberg/1/1/2/4/11243/old/11243.txt	0.74	298	any circumstances, was highly improbable, under those which actually existed impossible. But, why should we endeavour to escape from this vessel? The countries were at peace: we had just bought Louisiana from France, and paid fifteen millions of dollars for it, thereby not only getting the country
normal	300	gutenberg/1/1/2/4/11243/old/11243-8.txt	0.74	298	any circumstances, was highly improbable, under those which actually existed impossible. But, why should we endeavour to escape from this vessel? The countries were at peace: we had just bought Louisiana from France, and paid fifteen millions of dollars for it, thereby not only getting the country
normal	300	gutenberg/2/1/5/7/21572/21572.txt	0.74	300	would not let me go until another arrived, to be at his disposal in case of emergency. The weariness of so long remaining in harbour was, however, a little relieved by a circumstance which took place, and which probably will make my readers imagine that my propensity for playing tricks was not quite
normal	300	gutenberg/5/8/8/8/58887/58887-0.txt	0.73	300	headquarters. It was not, however, until the Armour Heights method had been in definite operation for some months that it became possible to re-analyse the then existing procedure in the light of new knowledge, and evolve a form of records which completely reflected all the various instrumentalities
normal	300	gutenberg/7/4/6/7469/old/7469-0 2021-12-02.txt	0.73	294	of being invited to lean. Sometimes he had longed for the sort of friend to whom he might possibly unfold his experience: a young man like himself who sustained a private grief and was not too confident about his own career; speculative enough to understand every moral difficulty, yet socially
normal	300	gutenberg/7/4/6/7469/old/8drda10.txt	0.73	294	of being invited to lean. Sometimes he had longed for the sort of friend to whom he might possibly unfold his experience: a young man like himself who sustained a private grief and was not too confident about his own career; speculative enough to understand every moral difficulty, yet socially
normal	300	gutenberg/7/4/6/7469/old/2010-02-05-7469-8.txt	0.73	294	of being invited to lean. Sometimes he had longed for the sort of friend to whom he might possibly unfold his experience: a young man like himself who sustained a private grief and was not too confident about his own career; speculative enough to understand every moral difficulty, yet socially
normal	300	gutenberg/7/4/6/7469/old/7drda10.txt	0.73	294	of being invited to lean. Sometimes he had longed for the sort of friend to whom he might possibly unfold his experience: a young man like himself who sustained a private grief and was not too confident about his own career; speculative enough to understand every moral difficulty, yet socially
normal	300	gutenberg/7/4/6/7469/old/20090826-7469-8.txt	0.73	294	of being invited to lean. Sometimes he had longed for the sort of friend to whom he might possibly unfold his experience: a young man like himself who sustained a private grief and was not too confident about his own career; speculative enough to understand every moral difficulty, yet socially
normal	300	gutenberg/7/4/6/7469/7469-0.txt	0.73	294	of being invited to lean. Sometimes he had longed for the sort of friend to whom he might possibly unfold his experience: a young man like himself who sustained a private grief and was not too confident about his own career; speculative enough to understand every moral difficulty, yet socially
normal	300	gutenberg/7/4/6/7469/old/20090826-7469.txt	0.73	294	of being invited to lean. Sometimes he had longed for the sort of friend to whom he might possibly unfold his experience: a young man like himself who sustained a private grief and was not too confident about his own career; speculative enough to understand every moral difficulty, yet socially
